Nr. crt.,Legitimație,Disciplina,Nota
1207,2448,Informatică,7.56
1307,2555,Matematică,7.56
1348,2599,Matematică,7.56
1412,2673,Matematică,7.56
1472,2736,Informatică,7.56
672,1831,Informatică,7.54
1037,2246,Informatică,7.54
1073,2291,Informatică,7.54
82,1115,Informatică,7.52
1249,2495,Informatică,7.52
57,1079,Matematică,7.50
140,1186,Informatică,7.50
197,1260,Matematică,7.50
247,1318,Informatică,7.50
288,1367,Matematică,7.50
295,1375,Informatică,7.50
368,1472,Informatică,7.50
406,1522,Matematică,7.50
456,1583,Informatică,7.50
495,1628,Informatică,7.50
514,1650,Informatică,7.50
578,1725,Informatică,7.50
592,1742,Informatică,7.50
748,1917,Informatică,7.50
811,1992,Informatică,7.50
1138,2366,Informatică,7.50
1196,2434,Informatică,7.50
1216,2457,Informatică,7.50
1223,2466,Informatică,7.50
1319,2567,Informatică,7.50
